usaf,wban,usafwban,station_id,station_name,ct,st,call_1,lat,lon,elev,begin_date,end_date
720768,274,720768-274,72076800274,LEE COUNTY AIRPORT,US,VA,K0VG,36.654,-83.218,430.1,20110101,20180724
724055,99999,724055-99999,72405599999,LEESBURG EXECUTIVE,US,VA,KJYO,39.078,-77.558,119,19950101,20071231
724055,3714,724055-3714,72405503714,LESSBURG EXECUTIVE AIRPORT,US,VA,KJYO,39.078,-77.558,118.6,20060101,20181023
997304,99999,997304-99999,99730499999,LEWISETTA  VA,US,VA,,37.98,-76.47,10,20070101,20180425
724117,99999,724117-99999,72411799999,LONESOME PINE,US,VA,KLNP,36.983,-82.533,818,19800227,20071231
724117,63802,724117-63802,72411763802,LONESOME PINE AIRPORT,US,VA,KLNP,36.988,-82.53,818.1,20060101,20181023
723114,99999,723114-99999,72311499999,LOUISA CO FREEMAN FL,US,VA,KLKU,38.017,-77.967,150,19990114,20071231
723114,3715,723114-3715,72311403715,LOUISA CO/FREEMAN FLD ARPT,US,VA,KLKU,38.01,-77.97,150.3,20060101,20181023
720716,99999,720716-99999,72071699999,LURAY CAVERNS,US,VA,KW45,38.667,-78.501,274.9,20111001,20130430
A06884,416,A06884-416,A0688400416,LURAY CAVERNS AIRPORT,US,VA,KLUA,38.667,-78.501,275.2,20140731,20181023
999999,13733,999999-13733,99999913733,LYNCHBURG MUNICIPAL ARPT,US,VA,KLYH,37.321,-79.207,285.9,19480101,19721231
724100,13733,724100-13733,72410013733,LYNCHBURG RGNL/PRESTON GLENN,US,VA,KLYH,37.321,-79.207,286.5,19730101,20181023
724036,99999,724036-99999,72403699999,MANASSAS RGNL DAVIS,US,VA,KHEF,38.721,-77.515,59,19920408,20071231
724036,3710,724036-3710,72403603710,MANSAS RGNL/H P DAVS FD AP,US,VA,KHEF,38.721,-77.515,58.5,20060101,20181023
723078,99999,723078-99999,72307899999,MARKS MUNI,US,VA,,36.596,-78.56,128.3,19890918,19900206
724118,93797,724118-93797,72411893797,MCKNBRG-BRUNWICK RGNL ARPT,US,VA,KAVC,36.688,-78.054,134.7,20060101,20181023
